Team,W_L,Date
LAL,L,2014-12-03
LAL,L,2014-12-05
LAL,L,2014-12-07
LAL,W,2014-12-09
LAL,W,2014-12-12
LAL,W,2014-12-14
LAL,L,2014-12-15
LAL,L,2014-12-19
LAL,L,2014-12-21
LAL,W,2014-12-23
LAL,L,2014-12-25
LAL,L,2014-12-26
LAL,L,2014-12-28
LAL,W,2014-12-30
LAL,L,2015-01-02
LAL,W,2015-01-04
LAL,L,2015-01-05
LAL,L,2015-01-07
LAL,W,2015-01-09
LAL,L,2015-01-11
LAL,L,2015-01-13
LAL,L,2015-01-15
LAL,L,2015-01-16
LAL,L,2015-01-19
LAL,L,2015-01-21
LAL,L,2015-01-23
LAL,L,2015-01-25
LAL,L,2015-01-27
LAL,W,2015-01-29
LAL,L,2015-02-01
LAL,L,2015-02-04
LAL,L,2015-02-06
LAL,L,2015-02-08
LAL,L,2015-02-10
LAL,L,2015-02-11
LAL,L,2015-02-20
LAL,W,2015-02-22
LAL,W,2015-02-25
LAL,W,2015-02-27
LAL,L,2015-03-01
LAL,L,2015-03-03
LAL,L,2015-03-04
LAL,L,2015-03-06
LAL,L,2015-03-08
LAL,W,2015-03-10
LAL,L,2015-03-12
LAL,L,2015-03-15
LAL,L,2015-03-16
LAL,L,2015-03-19
LAL,W,2015-03-22
LAL,L,2015-03-24
LAL,W,2015-03-25
LAL,L,2015-03-27
LAL,L,2015-03-29
LAL,W,2015-03-30
LAL,L,2015-04-01
LAL,L,2015-04-03
LAL,L,2015-04-05
LAL,L,2015-04-07
LAL,L,2015-04-08
LAL,W,2015-04-10
LAL,L,2015-04-12
LAL,L,2015-04-13
LAL,L,2015-04-15
MEM,W,2014-10-29
MEM,W,2014-10-31
MEM,W,2014-11-01
MEM,W,2014-11-03
MEM,W,2014-11-05
MEM,W,2014-11-07
MEM,L,2014-11-08
MEM,W,2014-11-11
MEM,W,2014-11-13
MEM,W,2014-11-15
MEM,W,2014-11-17
MEM,L,2014-11-19
MEM,W,2014-11-21
MEM,W,2014-11-23
MEM,W,2014-11-26
MEM,W,2014-11-28
MEM,W,2014-11-30
MEM,L,2014-12-03
MEM,L,2014-12-05
MEM,W,2014-12-07
MEM,W,2014-12-09
MEM,W,2014-12-12
MEM,W,2014-12-13
MEM,W,2014-12-16
MEM,W,2014-12-17
MEM,L,2014-12-19
MEM,L,2014-12-21
MEM,L,2014-12-22
MEM,L,2014-12-26
MEM,W,2014-12-27
MEM,W,2014-12-30
MEM,W,2015-01-02
MEM,L,2015-01-03
MEM,W,2015-01-05
MEM,L,2015-01-07
MEM,L,2015-01-09
MEM,W,2015-01-11
MEM,W,2015-01-14
MEM,W,2015-01-16
MEM,W,2015-01-17
MEM,L,2015-01-19
MEM,W,2015-01-21
MEM,W,2015-01-24
MEM,W,2015-01-26
MEM,W,2015-01-27
MEM,W,2015-01-29
MEM,W,2015-01-31
MEM,W,2015-02-02
MEM,W,2015-02-04
MEM,L,2015-02-06
MEM,W,2015-02-08
MEM,W,2015-02-10
MEM,L,2015-02-11
MEM,W,2015-02-22
MEM,W,2015-02-23
MEM,L,2015-02-25
MEM,L,2015-02-27
MEM,W,2015-02-28
MEM,L,2015-03-03
MEM,W,2015-03-04
MEM,W,2015-03-06
MEM,L,2015-03-07
MEM,W,2015-03-09
MEM,L,2015-03-11
MEM,L,2015-03-12
MEM,W,2015-03-14
MEM,W,2015-03-16
MEM,L,2015-03-17
MEM,W,2015-03-20
MEM,W,2015-03-21
MEM,W,2015-03-23
MEM,L,2015-03-25
MEM,L,2015-03-27
MEM,L,2015-03-29
MEM,W,2015-03-30
MEM,W,2015-04-03
MEM,L,2015-04-04
MEM,W,2015-04-08
MEM,W,2015-04-10
MEM,L,2015-04-11
MEM,L,2015-04-13
MEM,W,2015-04-15
MIA,W,2014-10-29
MIA,W,2014-11-01
MIA,W,2014-11-02
MIA,L,2014-11-04
MIA,L,2014-11-05
MIA,W,2014-11-08
MIA,W,2014-11-09
MIA,L,2014-11-12
MIA,L,2014-11-14
MIA,L,2014-11-16
MIA,W,2014-11-17
MIA,L,2014-11-20
MIA,W,2014-11-22
MIA,W,2014-11-23
MIA,L,2014-11-25
MIA,W,2014-11-30
MIA,L,2014-12-01
MIA,L,2014-12-03
MIA,L,2014-12-05
MIA,L,2014-12-07
MIA,W,2014-12-09
MIA,L,2014-12-10
MIA,W,2014-12-12
MIA,L,2014-12-14
MIA,W,2014-12-16
MIA,L,2014-12-17
MIA,L,2014-12-19
MIA,W,2014-12-21
MIA,L,2014-12-23
MIA,W,2014-12-25
MIA,L,2014-12-27
MIA,L,2014-12-29
MIA,L,2014-12-31
MIA,L,2015-01-03
MIA,W,2015-01-04
MIA,L,2015-01-08
MIA,W,2015-01-11
MIA,W,2015-01-13
MIA,L,2015-01-14
MIA,W,2015-01-16
MIA,L,2015-01-20
MIA,L,2015-01-21
MIA,W,2015-01-23
MIA,W,2015-01-25
MIA,L,2015-01-27
MIA,L,2015-01-30
MIA,W,2015-02-01
MIA,L,2015-02-03
MIA,L,2015-02-04
MIA,L,2015-02-06
MIA,W,2015-02-09
MIA,L,2015-02-11
MIA,W,2015-02-20
MIA,L,2015-02-21
MIA,W,2015-02-23
MIA,W,2015-02-25
MIA,L,2015-02-27
MIA,L,2015-02-28
MIA,W,2015-03-02
MIA,W,2015-03-04
MIA,L,2015-03-06
MIA,W,2015-03-07
MIA,L,2015-03-09
MIA,W,2015-03-11
MIA,L,2015-03-13
MIA,W,2015-03-16
MIA,W,2015-03-18
MIA,W,2015-03-20
MIA,L,2015-03-22
MIA,L,2015-03-24
MIA,W,2015-03-25
MIA,L,2015-03-27
MIA,W,2015-03-29
MIA,L,2015-03-31
MIA,L,2015-04-02
MIA,L,2015-04-04
MIA,L,2015-04-05
MIA,W,2015-04-07
MIA,L,2015-04-09
MIA,L,2015-04-11
MIA,W,2015-04-13
MIA,W,2015-04-15
MIL,L,2014-10-29
MIL,W,2014-10-31
MIL,L,2014-11-01
MIL,W,2014-11-04
MIL,L,2014-11-05
MIL,L,2014-11-07
MIL,W,2014-11-08
MIL,W,2014-11-11
MIL,L,2014-11-14
MIL,W,2014-11-16
MIL,W,2014-11-18
MIL,W,2014-11-19
MIL,L,2014-11-21
MIL,L,2014-11-22
MIL,W,2014-11-25
MIL,W,2014-11-26
MIL,W,2014-11-28
MIL,L,2014-11-29
MIL,L,2014-12-02
MIL,L,2014-12-03
MIL,W,2014-12-05
MIL,L,2014-12-07
MIL,L,2014-12-09
MIL,W,2014-12-13
MIL,W,2014-12-15
MIL,L,2014-12-17
MIL,W,2014-12-18
MIL,L,2014-12-20
MIL,L,2014-12-23
MIL,W,2014-12-26
MIL,L,2014-12-27
MIL,W,2014-12-29
MIL,W,2014-12-31
MIL,L,2015-01-02
MIL,W,2015-01-04
MIL,L,2015-01-06
MIL,W,2015-01-07
MIL,W,2015-01-09
MIL,L,2015-01-10
MIL,W,2015-01-15
MIL,L,2015-01-19
MIL,L,2015-01-22
MIL,W,2015-01-24
MIL,L,2015-01-25
MIL,W,2015-01-27
MIL,W,2015-01-29
MIL,W,2015-01-31
MIL,W,2015-02-02
MIL,W,2015-02-04
MIL,L,2015-02-06
MIL,W,2015-02-07
MIL,W,2015-02-09
MIL,W,2015-02-11
MIL,W,2015-02-20
MIL,L,2015-02-22
MIL,L,2015-02-23
MIL,W,2015-02-25
MIL,L,2015-02-27
MIL,L,2015-02-28
MIL,L,2015-03-03
MIL,L,2015-03-04
MIL,W,2015-03-07
MIL,L,2015-03-09
MIL,W,2015-03-11
MIL,L,2015-03-12
MIL,L,2015-03-14
MIL,L,2015-03-17
MIL,L,2015-03-18
MIL,L,2015-03-20
MIL,L,2015-03-22
MIL,W,2015-03-24
MIL,W,2015-03-26
MIL,L,2015-03-28
MIL,L,2015-03-30
MIL,W,2015-04-01
MIL,W,2015-04-03
MIL,L,2015-04-04
MIL,L,2015-04-08
MIL,W,2015-04-10
MIL,W,2015-04-12
MIL,W,2015-04-13
MIL,L,2015-04-15
MIN,L,2014-10-29
MIN,W,2014-10-30
MIN,L,2014-11-01
MIN,W,2014-11-05
MIN,L,2014-11-07
MIN,L,2014-11-08
MIN,L,2014-11-12
MIN,L,2014-11-14
MIN,L,2014-11-15
MIN,W,2014-11-19
MIN,L,2014-11-21
MIN,L,2014-11-22
MIN,L,2014-11-26
MIN,W,2014-11-28
MIN,L,2014-11-30
MIN,L,2014-12-01
MIN,L,2014-12-03
MIN,L,2014-12-05
MIN,L,2014-12-06
MIN,L,2014-12-08
MIN,W,2014-12-10
MIN,L,2014-12-12
MIN,L,2014-12-14
MIN,L,2014-12-16
MIN,L,2014-12-19
MIN,L,2014-12-21
MIN,L,2014-12-23
MIN,L,2014-12-26
MIN,L,2014-12-27
MIN,L,2014-12-30
MIN,L,2015-01-01
MIN,L,2015-01-03
MIN,L,2015-01-05
MIN,L,2015-01-07
MIN,L,2015-01-09
MIN,L,2015-01-10
MIN,W,2015-01-13
MIN,L,2015-01-16
MIN,W,2015-01-17
MIN,L,2015-01-19
MIN,L,2015-01-21
MIN,L,2015-01-23
MIN,L,2015-01-25
MIN,L,2015-01-26
MIN,W,2015-01-28
MIN,L,2015-01-30
MIN,L,2015-01-31
MIN,L,2015-02-02
MIN,W,2015-02-04
MIN,W,2015-02-06
MIN,W,2015-02-08
MIN,L,2015-02-09
MIN,L,2015-02-11
MIN,W,2015-02-20
MIN,L,2015-02-23
MIN,W,2015-02-25
MIN,L,2015-02-27
MIN,L,2015-02-28
MIN,L,2015-03-02
MIN,L,2015-03-04
MIN,W,2015-03-07
MIN,L,2015-03-09
MIN,L,2015-03-11
MIN,L,2015-03-13
MIN,L,2015-03-15
MIN,L,2015-03-16
MIN,L,2015-03-18
MIN,W,2015-03-19
MIN,L,2015-03-22
MIN,W,2015-03-23
MIN,L,2015-03-25
MIN,L,2015-03-27
MIN,L,2015-03-29
MIN,L,2015-03-30
MIN,L,2015-04-01
MIN,L,2015-04-03
MIN,L,2015-04-07
MIN,L,2015-04-08
MIN,L,2015-04-10
MIN,L,2015-04-11
MIN,L,2015-04-13
MIN,L,2015-04-15
NOP,W,2014-10-28
NOP,L,2014-11-01
NOP,L,2014-11-03
NOP,W,2014-11-04
NOP,W,2014-11-08
NOP,L,2014-11-10
NOP,W,2014-11-12
NOP,W,2014-11-14
NOP,L,2014-11-17
NOP,W,2014-11-18
NOP,L,2014-11-21
NOP,W,2014-11-22
NOP,L,2014-11-25
NOP,L,2014-11-28
NOP,L,2014-11-29
NOP,W,2014-12-02
NOP,L,2014-12-04
NOP,L,2014-12-06
NOP,W,2014-12-07
NOP,W,2014-12-09
NOP,L,2014-12-10
NOP,W,2014-12-12
NOP,L,2014-12-14
NOP,W,2014-12-16
NOP,W,2014-12-18
NOP,L,2014-12-20
NOP,W,2014-12-21
NOP,L,2014-12-23
NOP,W,2014-12-26
NOP,L,2014-12-27
NOP,W,2014-12-30
NOP,L,2014-12-31
NOP,W,2015-01-02
NOP,L,2015-01-05
NOP,L,2015-01-07
NOP,W,2015-01-09
NOP,L,2015-01-12
NOP,W,2015-01-14
NOP,L,2015-01-16
NOP,W,2015-01-18
NOP,L,2015-01-19
NOP,W,2015-01-21
NOP,W,2015-01-23
NOP,W,2015-01-25
NOP,W,2015-01-26
NOP,L,2015-01-28
NOP,W,2015-01-30
NOP,W,2015-02-02
NOP,L,2015-02-04
NOP,W,2015-02-06
NOP,L,2015-02-07
NOP,L,2015-02-09
NOP,L,2015-02-11
NOP,L,2015-02-20
NOP,W,2015-02-21
NOP,W,2015-02-23
NOP,W,2015-02-25
NOP,W,2015-02-27
NOP,W,2015-03-01
NOP,L,2015-03-02
NOP,W,2015-03-04
NOP,L,2015-03-06
NOP,W,2015-03-07
NOP,W,2015-03-09
NOP,W,2015-03-10
NOP,L,2015-03-15
NOP,W,2015-03-17
NOP,L,2015-03-19
NOP,L,2015-03-20
NOP,L,2015-03-22
NOP,L,2015-03-25
NOP,W,2015-03-27
NOP,W,2015-03-29
NOP,W,2015-04-01
NOP,W,2015-04-03
NOP,L,2015-04-04
NOP,W,2015-04-07
NOP,L,2015-04-08
NOP,W,2015-04-10
NOP,L,2015-04-12
NOP,W,2015-04-13
NOP,W,2015-04-15
NYK,L,2014-10-29
NYK,W,2014-10-30
NYK,W,2014-11-02
NYK,L,2014-11-04
NYK,L,2014-11-05
NYK,L,2014-11-07
NYK,L,2014-11-08
NYK,L,2014-11-10
NYK,L,2014-11-12
NYK,L,2014-11-14
NYK,W,2014-11-16
NYK,L,2014-11-18
NYK,L,2014-11-19
NYK,W,2014-11-22
NYK,L,2014-11-24
NYK,L,2014-11-26
NYK,L,2014-11-28
NYK,L,2014-11-30
NYK,L,2014-12-02
NYK,L,2014-12-04
NYK,L,2014-12-05
NYK,L,2014-12-07
NYK,L,2014-12-09
NYK,L,2014-12-10
NYK,W,2014-12-12
NYK,L,2014-12-14
NYK,L,2014-12-16
NYK,L,2014-12-18
NYK,L,2014-12-20
NYK,L,2014-12-21
NYK,L,2014-12-25
NYK,L,2014-12-27
NYK,L,2014-12-28
NYK,L,2014-12-31
NYK,L,2015-01-02
NYK,L,2015-01-04
NYK,L,2015-01-05
NYK,L,2015-01-07
NYK,L,2015-01-08
NYK,L,2015-01-10
NYK,L,2015-01-15
NYK,W,2015-01-19
NYK,W,2015-01-21
NYK,W,2015-01-23
NYK,L,2015-01-24
NYK,W,2015-01-28
NYK,L,2015-01-29
NYK,W,2015-02-01
NYK,L,2015-02-03
NYK,L,2015-02-06
NYK,L,2015-02-07
NYK,L,2015-02-09
NYK,L,2015-02-11
NYK,L,2015-02-20
NYK,L,2015-02-22
NYK,L,2015-02-25
NYK,W,2015-02-27
NYK,W,2015-02-28
NYK,L,2015-03-03
NYK,L,2015-03-04
NYK,L,2015-03-07
NYK,L,2015-03-09
NYK,L,2015-03-10
NYK,W,2015-03-12
NYK,L,2015-03-14
NYK,L,2015-03-15
NYK,W,2015-03-17
NYK,L,2015-03-19
NYK,L,2015-03-20
NYK,L,2015-03-22
NYK,L,2015-03-23
NYK,L,2015-03-25
NYK,L,2015-03-27
NYK,L,2015-03-28
NYK,L,2015-04-01
NYK,L,2015-04-03
NYK,W,2015-04-05
NYK,L,2015-04-08
NYK,L,2015-04-10
NYK,W,2015-04-11
NYK,W,2015-04-13
NYK,L,2015-04-15
OKC,L,2014-10-29
OKC,L,2014-10-30
OKC,W,2014-11-01
OKC,L,2014-11-03
OKC,L,2014-11-04
OKC,L,2014-11-07
OKC,W,2014-11-09
OKC,L,2014-11-11
OKC,W,2014-11-12
OKC,L,2014-11-14
OKC,L,2014-11-16
OKC,L,2014-11-18
OKC,L,2014-11-19
OKC,L,2014-11-21
OKC,L,2014-11-23
OKC,W,2014-11-26
OKC,W,2014-11-28
OKC,L,2014-12-02
OKC,W,2014-12-05
OKC,W,2014-12-07
OKC,W,2014-12-09
OKC,W,2014-12-11
OKC,W,2014-12-12
OKC,W,2014-12-14
OKC,W,2014-12-16
OKC,L,2014-12-18
OKC,W,2014-12-19
OKC,L,2014-12-21
OKC,L,2014-12-23
OKC,W,2014-12-25
OKC,W,2014-12-26
OKC,L,2014-12-28
OKC,W,2014-12-31
OKC,W,2015-01-02
OKC,L,2015-01-05
OKC,L,2015-01-07
OKC,W,2015-01-09
OKC,L,2015-01-15
OKC,W,2015-01-16
OKC,W,2015-01-18
OKC,W,2015-01-20
OKC,W,2015-01-21
OKC,L,2015-01-23
OKC,L,2015-01-25
OKC,W,2015-01-26
OKC,L,2015-01-28
OKC,L,2015-01-31
OKC,W,2015-02-02
OKC,W,2015-02-04
OKC,L,2015-02-06
OKC,W,2015-02-08
OKC,W,2015-02-09
OKC,W,2015-02-11
OKC,W,2015-02-19
OKC,W,2015-02-21
OKC,W,2015-02-22
OKC,W,2015-02-24
OKC,L,2015-02-26
OKC,L,2015-02-27
OKC,W,2015-03-01
OKC,W,2015-03-04
OKC,L,2015-03-05
OKC,W,2015-03-08
OKC,L,2015-03-11
OKC,W,2015-03-13
OKC,W,2015-03-15
OKC,L,2015-03-16
OKC,W,2015-03-18
OKC,W,2015-03-20
OKC,W,2015-03-22
OKC,W,2015-03-24
OKC,L,2015-03-25
OKC,L,2015-03-28
OKC,W,2015-03-29
OKC,L,2015-04-01
OKC,L,2015-04-03
OKC,L,2015-04-05
OKC,L,2015-04-07
OKC,W,2015-04-10
OKC,L,2015-04-12
OKC,W,2015-04-13
OKC,W,2015-04-15
ORL,L,2014-10-28
ORL,L,2014-10-30
ORL,L,2014-11-01
ORL,L,2014-11-04
ORL,W,2014-11-05
ORL,W,2014-11-07
ORL,L,2014-11-09
ORL,L,2014-11-11
ORL,W,2014-11-12
ORL,W,2014-11-14
ORL,L,2014-11-15
ORL,W,2014-11-17
ORL,L,2014-11-19
ORL,W,2014-11-21
ORL,L,2014-11-22
ORL,L,2014-11-24
ORL,L,2014-11-26
ORL,L,2014-11-28
ORL,W,2014-11-30
ORL,L,2014-12-02
ORL,L,2014-12-03
ORL,W,2014-12-05
ORL,W,2014-12-06
ORL,L,2014-12-10
ORL,L,2014-12-12
ORL,W,2014-12-13
ORL,L,2014-12-15
ORL,L,2014-12-17
ORL,L,2014-12-19
ORL,L,2014-12-21
ORL,W,2014-12-23
ORL,L,2014-12-26
ORL,W,2014-12-27
ORL,W,2014-12-29
ORL,L,2014-12-30
ORL,L,2015-01-02
ORL,L,2015-01-03
ORL,L,2015-01-07
ORL,L,2015-01-09
ORL,L,2015-01-10
ORL,W,2015-01-12
ORL,W,2015-01-14
ORL,L,2015-01-16
ORL,L,2015-01-18
ORL,L,2015-01-21
ORL,L,2015-01-23
ORL,L,2015-01-25
ORL,L,2015-01-26
ORL,L,2015-01-29
ORL,L,2015-01-31
ORL,L,2015-02-02
ORL,L,2015-02-04
ORL,W,2015-02-06
ORL,L,2015-02-08
ORL,L,2015-02-09
ORL,W,2015-02-11
ORL,W,2015-02-20
ORL,W,2015-02-22
ORL,L,2015-02-25
ORL,L,2015-02-27
ORL,L,2015-03-01
ORL,L,2015-03-04
ORL,W,2015-03-06
ORL,W,2015-03-08
ORL,L,2015-03-10
ORL,L,2015-03-11
ORL,L,2015-03-13
ORL,L,2015-03-15
ORL,L,2015-03-17
ORL,L,2015-03-18
ORL,W,2015-03-20
ORL,L,2015-03-22
ORL,L,2015-03-25
ORL,L,2015-03-27
ORL,L,2015-04-01
ORL,W,2015-04-03
ORL,W,2015-04-04
ORL,W,2015-04-08
ORL,L,2015-04-10
ORL,L,2015-04-11
ORL,L,2015-04-13
ORL,L,2015-04-15
PHI,L,2014-10-29
PHI,L,2014-10-31
PHI,L,2014-11-01
PHI,L,2014-11-03
PHI,L,2014-11-05
PHI,L,2014-11-07
PHI,L,2014-11-09
PHI,L,2014-11-13
PHI,L,2014-11-14
PHI,L,2014-11-17
PHI,L,2014-11-19
PHI,L,2014-11-21
PHI,L,2014-11-22
PHI,L,2014-11-24
PHI,L,2014-11-26
PHI,L,2014-11-29
PHI,L,2014-12-01
PHI,W,2014-12-03
PHI,L,2014-12-05
PHI,W,2014-12-06
PHI,L,2014-12-10
PHI,L,2014-12-12
PHI,L,2014-12-13
PHI,L,2014-12-15
PHI,L,2014-12-19
PHI,W,2014-12-21
PHI,W,2014-12-23
PHI,L,2014-12-26
PHI,L,2014-12-27
PHI,L,2014-12-30
PHI,L,2015-01-02
PHI,L,2015-01-03
PHI,W,2015-01-05
PHI,L,2015-01-07
PHI,W,2015-01-09
PHI,W,2015-01-10
PHI,L,2015-01-13
PHI,L,2015-01-14
PHI,W,2015-01-16
PHI,L,2015-01-17
PHI,L,2015-01-19
PHI,L,2015-01-21
PHI,L,2015-01-23
PHI,L,2015-01-24
PHI,L,2015-01-26
PHI,W,2015-01-28
PHI,W,2015-01-30
PHI,L,2015-01-31
PHI,L,2015-02-02
PHI,W,2015-02-03
PHI,L,2015-02-06
PHI,W,2015-02-07
PHI,L,2015-02-09
PHI,L,2015-02-20
PHI,L,2015-02-22
PHI,L,2015-02-23
PHI,L,2015-02-25
PHI,W,2015-02-27
PHI,L,2015-03-01
PHI,L,2015-03-02
PHI,L,2015-03-04
PHI,L,2015-03-06
PHI,W,2015-03-07
PHI,L,2015-03-11
PHI,W,2015-03-13
PHI,L,2015-03-14
PHI,L,2015-03-16
PHI,W,2015-03-18
PHI,W,2015-03-20
PHI,L,2015-03-22
PHI,L,2015-03-24
PHI,W,2015-03-25
PHI,L,2015-03-27
PHI,L,2015-03-29
PHI,L,2015-03-30
PHI,L,2015-04-01
PHI,L,2015-04-04
PHI,L,2015-04-05
PHI,L,2015-04-08
PHI,L,2015-04-11
PHI,L,2015-04-13
PHI,L,2015-04-15
PHO,W,2014-10-29
PHO,W,2014-10-31
PHO,L,2014-11-01
PHO,W,2014-11-04
PHO,L,2014-11-05
PHO,L,2014-11-07
PHO,W,2014-11-09
PHO,W,2014-11-12
PHO,L,2014-11-14
PHO,L,2014-11-15
PHO,W,2014-11-17
PHO,W,2014-11-19
PHO,W,2014-11-21
PHO,W,2014-11-22
PHO,L,2014-11-24
PHO,W,2014-11-26
PHO,L,2014-11-28
PHO,L,2014-11-30
PHO,W,2014-12-02
PHO,W,2014-12-05
PHO,L,2014-12-06
PHO,L,2014-12-08
PHO,L,2014-12-09
PHO,L,2014-12-12
PHO,L,2014-12-14
PHO,L,2014-12-15
PHO,W,2014-12-17
PHO,W,2014-12-20
PHO,W,2014-12-21
PHO,W,2014-12-23
PHO,W,2014-12-26
PHO,W,2014-12-28
PHO,L,2014-12-30
PHO,L,2014-12-31
PHO,W,2015-01-02
PHO,W,2015-01-04
PHO,W,2015-01-06
PHO,W,2015-01-07
PHO,L,2015-01-09
PHO,L,2015-01-11
PHO,W,2015-01-13
PHO,W,2015-01-16
PHO,W,2015-01-19
PHO,W,2015-01-21
PHO,L,2015-01-23
PHO,L,2015-01-25
PHO,W,2015-01-28
PHO,W,2015-01-30
PHO,L,2015-01-31
PHO,L,2015-02-02
PHO,L,2015-02-05
PHO,W,2015-02-06
PHO,L,2015-02-08
PHO,L,2015-02-10
PHO,L,2015-02-20
PHO,L,2015-02-21
PHO,L,2015-02-23
PHO,W,2015-02-25
PHO,W,2015-02-26
PHO,L,2015-02-28
PHO,L,2015-03-02
PHO,W,2015-03-04
PHO,W,2015-03-06
PHO,L,2015-03-07
PHO,L,2015-03-09
PHO,W,2015-03-11
PHO,L,2015-03-13
PHO,W,2015-03-15
PHO,W,2015-03-19
PHO,W,2015-03-21
PHO,W,2015-03-22
PHO,L,2015-03-25
PHO,L,2015-03-27
PHO,L,2015-03-29
PHO,L,2015-03-30
PHO,L,2015-04-02
PHO,W,2015-04-04
PHO,L,2015-04-07
PHO,L,2015-04-08
PHO,L,2015-04-10
PHO,L,2015-04-12
PHO,L,2015-04-14
POR,W,2014-10-29
POR,L,2014-10-31
POR,L,2014-11-02
POR,W,2014-11-04
POR,W,2014-11-06
POR,L,2014-11-08
POR,W,2014-11-09
POR,W,2014-11-11
POR,W,2014-11-12
POR,W,2014-11-15
POR,W,2014-11-17
POR,W,2014-11-21
POR,W,2014-11-23
POR,W,2014-11-24
POR,W,2014-11-26
POR,L,2014-11-28
POR,W,2014-11-30
POR,W,2014-12-02
POR,W,2014-12-04
POR,W,2014-12-07
POR,W,2014-12-09
POR,L,2014-12-10
POR,L,2014-12-12
POR,W,2014-12-13
POR,W,2014-12-15
POR,W,2014-12-17
POR,W,2014-12-19
POR,W,2014-12-20
POR,L,2014-12-22
POR,W,2014-12-23
POR,W,2014-12-26
POR,W,2014-12-28
POR,W,2014-12-30
POR,L,2015-01-03
POR,W,2015-01-05
POR,W,2015-01-08
POR,W,2015-01-10
POR,W,2015-01-11
POR,L,2015-01-14
POR,L,2015-01-16
POR,L,2015-01-17
POR,W,2015-01-19
POR,L,2015-01-21
POR,L,2015-01-22
POR,W,2015-01-24
POR,L,2015-01-28
POR,L,2015-01-30
POR,L,2015-01-31
POR,W,2015-02-03
POR,W,2015-02-05
POR,L,2015-02-07
POR,W,2015-02-08
POR,W,2015-02-11
POR,L,2015-02-20
POR,L,2015-02-22
POR,W,2015-02-25
POR,W,2015-02-27
POR,W,2015-03-01
POR,W,2015-03-04
POR,W,2015-03-05
POR,L,2015-03-07
POR,W,2015-03-11
POR,W,2015-03-13
POR,W,2015-03-15
POR,L,2015-03-16
POR,L,2015-03-18
POR,L,2015-03-20
POR,L,2015-03-21
POR,L,2015-03-24
POR,W,2015-03-25
POR,W,2015-03-27
POR,W,2015-03-28
POR,W,2015-03-30
POR,L,2015-04-01
POR,W,2015-04-03
POR,W,2015-04-04
POR,L,2015-04-06
POR,W,2015-04-08
POR,L,2015-04-09
POR,L,2015-04-11
POR,L,2015-04-13
POR,L,2015-04-15
SAC,L,2014-10-29
SAC,W,2014-10-31
SAC,W,2014-11-02
SAC,W,2014-11-03
SAC,W,2014-11-05
SAC,W,2014-11-07
SAC,L,2014-11-09
SAC,L,2014-11-11
SAC,L,2014-11-13
SAC,W,2014-11-15
SAC,L,2014-11-18
SAC,W,2014-11-20
SAC,W,2014-11-22
SAC,W,2014-11-25
SAC,L,2014-11-26
SAC,L,2014-11-28
SAC,L,2014-11-30
SAC,L,2014-12-02
SAC,W,2014-12-05
SAC,L,2014-12-06
SAC,W,2014-12-08
SAC,L,2014-12-09
SAC,L,2014-12-11
SAC,L,2014-12-13
SAC,L,2014-12-16
SAC,L,2014-12-18
SAC,W,2014-12-21
SAC,L,2014-12-22
SAC,L,2014-12-26
SAC,W,2014-12-27
SAC,L,2014-12-29
SAC,L,2014-12-31
SAC,W,2015-01-01
SAC,L,2015-01-04
SAC,W,2015-01-07
SAC,L,2015-01-09
SAC,W,2015-01-11
SAC,L,2015-01-13
SAC,L,2015-01-16
SAC,L,2015-01-17
SAC,L,2015-01-19
SAC,L,2015-01-21
SAC,L,2015-01-23
SAC,L,2015-01-28
SAC,L,2015-01-30
SAC,W,2015-01-31
SAC,L,2015-02-03
SAC,L,2015-02-05
SAC,L,2015-02-07
SAC,W,2015-02-08
SAC,L,2015-02-10
SAC,L,2015-02-11
SAC,W,2015-02-20
SAC,L,2015-02-21
SAC,W,2015-02-25
SAC,L,2015-02-27
SAC,L,2015-03-01
SAC,W,2015-03-03
SAC,L,2015-03-04
SAC,L,2015-03-06
SAC,L,2015-03-07
SAC,L,2015-03-09
SAC,W,2015-03-11
SAC,L,2015-03-13
SAC,L,2015-03-14
SAC,L,2015-03-16
SAC,L,2015-03-18
SAC,W,2015-03-20
SAC,W,2015-03-22
SAC,W,2015-03-24
SAC,W,2015-03-25
SAC,L,2015-03-27
SAC,L,2015-03-30
SAC,L,2015-04-01
SAC,L,2015-04-03
SAC,L,2015-04-05
SAC,W,2015-04-07
SAC,L,2015-04-08
SAC,L,2015-04-10
SAC,L,2015-04-12
SAC,W,2015-04-13
SAC,W,2015-04-15
SAS,W,2014-10-28
SAS,L,2014-10-31
SAS,W,2014-11-05
SAS,L,2014-11-06
SAS,L,2014-11-08
SAS,W,2014-11-10
SAS,W,2014-11-11
SAS,W,2014-11-14
SAS,L,2014-11-15
SAS,W,2014-11-17
SAS,W,2014-11-19
SAS,W,2014-11-21
SAS,W,2014-11-22
SAS,W,2014-11-26
SAS,W,2014-11-28
SAS,W,2014-11-30
SAS,W,2014-12-01
SAS,L,2014-12-03
SAS,W,2014-12-05
SAS,W,2014-12-06
SAS,L,2014-12-09
SAS,W,2014-12-10
SAS,L,2014-12-12
SAS,W,2014-12-14
SAS,L,2014-12-15
SAS,L,2014-12-17
SAS,L,2014-12-19
SAS,L,2014-12-20
SAS,W,2014-12-22
SAS,L,2014-12-25
SAS,L,2014-12-26
SAS,W,2014-12-28
SAS,L,2014-12-30
SAS,W,2014-12-31
