player,draft_year,pro_height_inches,pro_weight_lb,date_of_birth
arsalan-kazemi,2013,79,226,1990-04-22
joffrey-lauvergne,2013,83,220,1991-09-30
peyton-siva,2013,72,185,1990-10-24
alex-oriakhi,2013,81,255,1990-06-21
deshaun-thomas,2013,79,215,1991-08-29
bojan-dubljevic,2013,81,235,1991-10-24
janis-timma,2013,79,224,1992-07-02
andrew-wiggins,2014,79,197,1995-02-23
jabari-parker,2014,80,245,1995-03-15
joel-embiid,2014,84,280,1994-03-16
aaron-gordon,2014,80,235,1995-09-16
dante-exum,2014,77,214,1995-07-13
marcus-smart,2014,75,220,1994-03-06
julius-randle,2014,80,250,1994-11-29
nik-stauskas,2014,78,205,1993-10-07
noah-vonleh,2014,82,257,1995-08-24
elfrid-payton,2014,75,195,1994-02-22
doug-mcdermott,2014,79,225,1992-01-03
dario-saric,2014,82,225,1994-04-08
zach-lavine,2014,77,200,1995-03-10
t.j.-warren,2014,80,220,1993-09-05
adreian-payne,2014,82,237,1991-02-19
jusuf-nurkic,2014,83,290,1994-08-23
james-young,2014,78,215,1995-08-16
tyler-ennis,2014,75,194,1994-08-24
gary-harris,2014,76,210,1994-09-14
bruno-caboclo,2014,81,218,1995-09-21
mitch-mcgary,2014,82,255,1992-06-06
jordan-adams,2014,77,209,1994-07-08
rodney-hood,2014,80,208,1992-10-20
shabazz-napier,2014,72,175,1991-07-14
clint-capela,2014,82,240,1994-05-18
p.j.-hairston,2014,78,230,1992-12-24
bogdan-bogdanovic,2014,78,220,1992-08-18
c.j.-wilcox,2014,77,195,1990-12-30
josh-huestis,2014,79,230,1991-12-19
kyle-anderson,2014,81,230,1993-09-20
damien-inglis,2014,80,246,1995-05-20
k.j.-mcdaniels,2014,78,205,1993-02-09
joe-harris,2014,78,220,1991-09-06
cleanthony-early,2014,80,210,1991-04-17
jarnell-stokes,2014,81,263,1994-01-07
johnny-o'bryant,2014,81,257,1993-06-01
deandre-daniels,2014,81,195,1992-04-15
spencer-dinwiddie,2014,77,215,1993-04-06
jerami-grant,2014,80,210,1994-03-12
glenn-robinson-iii,2014,78,222,1994-01-08
nikola-jokic,2014,83,284,1995-02-19
nick-johnson,2014,75,202,1992-12-22
edy-tavares,2014,87,260,1992-03-22
markel-brown,2014,75,190,1992-01-29
dwight-powell,2014,82,240,1991-07-20
jordan-clarkson,2014,76,194,1992-06-07
russ-smith,2014,72,165,1991-04-19
lamar-patterson,2014,77,225,1991-08-12
cameron-bairstow,2014,81,250,1990-12-07
alec-brown,2014,85,235,1992-07-23
thanasis-antetokounmpo,2014,78,219,1992-07-18
vasilije-micic,2014,77,200,1994-01-13
alessandro-gentile,2014,79,230,1992-11-12
nemanja-dangubic,2014,80,193,1993-04-13
semaj-christon,2014,75,190,1992-11-01
devyn-marble,2014,78,200,1992-09-21
louis-labeyrie,2014,82,200,1992-02-11
jordan-mcrae,2014,77,179,1991-03-28
xavier-thames,2014,75,195,1991-01-19
cory-jefferson,2014,81,218,1990-12-26
karl-anthony-towns,2015,83,248,1995-11-15
d'angelo-russell,2015,76,193,1996-02-23
jahlil-okafor,2015,82,270,1995-12-15
kristaps-porzingis,2015,87,240,1995-08-02
mario-hezonja,2015,80,220,1995-02-25
willie-cauley-stein,2015,84,240,1993-08-18
emmanuel-mudiay,2015,75,200,1996-03-05
stanley-johnson,2015,78,242,1996-05-29
frank-kaminsky,2015,84,240,1993-04-04
justise-winslow,2015,78,222,1996-03-26
myles-turner,2015,83,250,1996-03-24
trey-lyles,2015,81,234,1995-11-05
devin-booker,2015,77,206,1996-10-30
cameron-payne,2015,73,183,1994-08-08
kelly-oubre-jr.,2015,79,203,1995-12-09
terry-rozier,2015,73,190,1994-03-17
rashad-vaughn,2015,78,202,1996-08-16
sam-dekker,2015,81,230,1994-05-06
jerian-grant,2015,76,205,1992-10-09
delon-wright,2015,77,185,1992-04-26
justin-anderson,2015,78,230,1993-11-19
bobby-portis,2015,82,250,1995-02-10
rondae-hollis-jefferson,2015,78,217,1995-01-03
tyus-jones,2015,72,196,1996-05-10
jarell-martin,2015,82,239,1994-05-24
nikola-milutinov,2015,83,235,1994-12-30
larry-nance-jr.,2015,79,245,1993-01-01
r.j.-hunter,2015,77,185,1993-10-24
chris-mccullough,2015,83,200,1995-02-05
kevon-looney,2015,81,222,1996-02-06
cedi-osman,2015,79,230,1995-04-08
montrezl-harrell,2015,79,240,1994-01-26
jordan-mickey,2015,80,235,1994-07-09
anthony-brown,2015,79,210,1992-10-10
willy-hernangomez,2015,83,250,1994-05-27
rakeem-christmas,2015,81,250,1991-12-01
richaun-holmes,2015,82,235,1993-10-15
darrun-hilliard,2015,78,205,1993-04-13
juan-pablo-vaulet,2015,78,200,1996-03-22
josh-richardson,2015,77,200,1993-09-15
pat-connaughton,2015,77,209,1993-01-06
olivier-hanlan,2015,76,190,1993-02-15
joe-young,2015,74,180,1992-06-27
andrew-harrison,2015,78,213,1994-10-28
marcus-thornton,2015,76,190,1993-02-09
norman-powell,2015,75,215,1993-05-25
arturas-gudaitis,2015,82,254,1993-06-19
dakari-johnson,2015,84,255,1995-09-22
aaron-white,2015,81,210,1992-09-10
marcus-eriksson,2015,79,178,1993-12-05
tyler-harvey,2015,76,185,1993-07-17
satnam-singh,2015,86,290,1995-12-10
sir'dominic-pointer,2015,78,192,1992-05-06
dani-diez,2015,79,212,1993-04-07
cady-lalanne,2015,82,253,1992-04-22
branden-dawson,2015,78,225,1993-02-01
nikola-radicevic,2015,78,200,1994-04-25
j.p.-tokoto,2015,78,200,1993-09-15
dimitrios-agravanis,2015,82,235,1994-12-20
luka-mitrovic,2015,81,230,1993-03-21
ben-simmons,2016,83,240,1996-07-20
brandon-ingram,2016,80,190,1997-09-02
jaylen-brown,2016,78,223,1996-10-24
dragan-bender,2016,84,225,1997-11-17
kris-dunn,2016,75,205,1994-03-18
buddy-hield,2016,76,220,1992-12-17
jamal-murray,2016,75,215,1997-02-23
marquese-chriss,2016,81,240,1997-07-02
jakob-poeltl,2016,85,245,1995-10-15
thon-maker,2016,84,221,1997-02-25
domantas-sabonis,2016,83,240,1996-05-03
taurean-prince,2016,79,218,1994-03-22
georgios-papagiannis,2016,85,240,1997-07-03
denzel-valentine,2016,76,220,1993-11-16
juan-hernangomez,2016,81,214,1995-09-28
guerschon-yabusele,2016,80,260,1995-12-17
wade-baldwin,2016,76,200,1996-03-29
henry-ellenson,2016,82,240,1997-01-13
malik-beasley,2016,76,187,1996-11-26
caris-levert,2016,78,205,1994-08-25
deandre'-bembry,2016,77,210,1994-07-04
malachi-richardson,2016,78,205,1996-01-05
ante-zizic,2016,82,266,1997-01-04
timothe-luwawu-cabarrot,2016,79,220,1995-05-09
brice-johnson,2016,82,230,1994-06-27
furkan-korkmaz,2016,79,202,1997-07-24
pascal-siakam,2016,81,230,1994-04-02
skal-labissiere,2016,82,235,1996-03-18
dejounte-murray,2016,76,180,1996-09-19
damian-jones,2016,83,245,1995-06-30
deyonta-davis,2016,83,237,1996-12-02
ivica-zubac,2016,84,240,1997-03-18
cheick-diallo,2016,80,219,1996-09-13
tyler-ulis,2016,70,160,1996-01-05
rade-zagorac,2016,81,202,1995-08-12
malcolm-brogdon,2016,77,229,1992-12-11
chinanu-onuaku,2016,82,245,1996-11-01
patrick-mccaw,2016,79,181,1995-10-25
david-michineau,2016,76,180,1994-06-06
diamond-stone,2016,83,255,1997-02-10
stephen-zimmerman,2016,84,240,1996-09-09
isaiah-whitehead,2016,76,213,1995-03-08
zhou-qi,2016,85,210,1996-01-16
isaia-cordinier,2016,76,180,1996-11-28
demetrius-jackson,2016,73,201,1994-09-07
a.j.-hammons,2016,84,260,1992-08-27
jake-layman,2016,80,209,1994-03-07
paul-zipser,2016,80,215,1994-02-18
michael-gbinije,2016,79,200,1992-06-05
georges-niang,2016,79,230,1993-06-17
ben-bentil,2016,81,235,1995-03-29
joel-bolomboy,2016,81,235,1994-01-28
petr-cornelie,2016,83,220,1995-07-26
kay-felder,2016,69,176,1995-03-29
marcus-paige,2016,73,175,1993-09-11
daniel-hamilton,2016,79,195,1995-08-08
wang-zhelin,2016,84,220,1994-01-20
abdel-nader,2016,77,225,1993-09-25
isaiah-cousins,2016,77,191,1994-03-13
tyrone-wallace,2016,77,198,1994-06-10
markelle-fultz,2017,75,209,1998-05-29
lonzo-ball,2017,78,190,1997-10-27
jayson-tatum,2017,80,210,1998-03-03
josh-jackson,2017,80,207,1997-02-10
de'aaron-fox,2017,75,185,1997-12-20
jonathan-isaac,2017,83,230,1997-10-03
lauri-markkanen,2017,84,240,1997-05-22
frank-ntilikina,2017,76,200,1998-07-28
dennis-smith-jr.,2017,74,205,1997-11-25
zach-collins,2017,83,250,1997-11-19
malik-monk,2017,75,200,1998-02-04
luke-kennard,2017,77,206,1996-06-24
donovan-mitchell,2017,72,215,1996-09-07
bam-adebayo,2017,81,255,1997-07-18
justin-jackson,2017,80,220,1995-03-28
justin-patton,2017,83,241,1997-06-14
d.j.-wilson,2017,82,231,1996-02-19
t.j.-leaf,2017,82,222,1997-04-30
john-collins,2017,81,235,1997-09-23
harry-giles,2017,83,240,1998-04-22
terrance-ferguson,2017,78,190,1998-05-17
jarrett-allen,2017,83,243,1998-04-21
og-anunoby,2017,79,232,1997-07-17
tyler-lydon,2017,82,225,1996-04-09
anzejs-pasecniks,2017,85,229,1995-12-20
caleb-swanigan,2017,81,260,1997-04-18
kyle-kuzma,2017,82,221,1995-07-24
tony-bradley,2017,82,248,1998-01-08
derrick-white,2017,76,190,1994-07-02
josh-hart,2017,77,215,1995-03-06
frank-jackson,2017,75,205,1998-05-04
davon-reed,2017,77,208,1995-06-11
wesley-iwundu,2017,78,195,1994-12-20
frank-mason-iii,2017,71,190,1994-04-03
ivan-rabb,2017,82,220,1997-02-04
jonah-bolden,2017,80,220,1996-01-02
semi-ojeleye,2017,78,240,1994-12-05
jordan-bell,2017,80,216,1995-01-07
jawun-evans,2017,72,185,1996-07-26
dwayne-bacon,2017,78,221,1995-08-30
tyler-dorsey,2017,77,183,1996-02-18
thomas-bryant,2017,82,248,1997-07-31
isaiah-hartenstein,2017,84,250,1998-05-05
damyean-dotson,2017,77,210,1994-05-06
dillon-brooks,2017,79,225,1996-01-22
sterling-brown,2017,77,219,1995-02-10
ike-anigbogu,2017,82,250,1998-10-17
sindarius-thornwell,2017,76,215,1994-11-15
vlatko-cancar,2017,80,236,1997-04-10
mathias-lessort,2017,81,240,1995-09-29
monte-morris,2017,74,183,1995-06-27
edmond-sumner,2017,76,196,1995-12-31
kadeem-allen,2017,73,200,1993-01-15
alec-peters,2017,81,232,1995-04-13
nigel-williams-goss,2017,74,190,1994-09-16
jabari-bird,2017,78,198,1994-07-03
sasha-vezenkov,2017,81,225,1995-08-06
ognjen-jaramaz,2017,76,194,1995-09-01
jaron-blossomgame,2017,80,220,1993-09-16
alpha-kaba,2017,82,242,1996-01-29
deandre-ayton,2018,83,250,1998-07-23
marvin-bagley-iii,2018,83,235,1999-03-14
luka-doncic,2018,79,230,1999-02-28
jaren-jackson-jr.,2018,83,242,1999-09-15
trae-young,2018,73,180,1998-09-19
mo-bamba,2018,84,231,1998-05-12
wendell-carter-jr.,2018,82,270,1999-04-16
collin-sexton,2018,73,190,1999-01-04
kevin-knox,2018,79,215,1999-08-11
mikal-bridges,2018,78,209,1996-08-30
shai-gilgeous-alexander,2018,78,180,1998-07-12
miles-bridges,2018,78,225,1998-03-21
jerome-robinson,2018,76,190,1997-02-22
michael-porter-jr.,2018,82,218,1998-06-29
troy-brown-jr.,2018,78,215,1999-07-28
zhaire-smith,2018,75,205,1999-06-04
donte-divincenzo,2018,76,203,1997-01-31
lonnie-walker,2018,76,204,1998-12-14
kevin-huerter,2018,79,190,1998-08-27
josh-okogie,2018,76,213,1998-09-01
grayson-allen,2018,76,198,1995-10-08
chandler-hutchison,2018,78,210,1996-04-26
aaron-holiday,2018,72,185,1996-09-30
anfernee-simons,2018,75,181,1999-06-08
moritz-wagner,2018,83,245,1997-04-26
landry-shamet,2018,76,190,1997-03-13
robert-williams,2018,80,237,1997-10-17
jacob-evans,2018,76,210,1997-06-18
dzanan-musa,2018,81,217,1999-05-08
omari-spellman,2018,80,245,1997-07-21
elie-okobo,2018,75,190,1997-10-23
jevon-carter,2018,73,200,1995-09-14
jalen-brunson,2018,73,190,1996-08-31
devonte'-graham,2018,73,195,1995-02-22
melvin-frazier,2018,77,215,1996-08-30
mitchell-robinson,2018,84,240,1998-04-01
gary-trent-jr.,2018,77,209,1999-01-18
khyri-thomas,2018,75,210,1996-05-08
isaac-bonga,2018,80,180,1999-11-08
rodions-kurucs,2018,81,228,1998-02-05
jarred-vanderbilt,2018,81,214,1999-04-03
bruce-brown,2018,76,202,1996-08-15
justin-jackson,2018,79,225,1997-02-18
issuf-sanon,2018,76,172,1999-10-30
hamidou-diallo,2018,77,202,1998-07-31
de'anthony-melton,2018,74,200,1998-05-28
sviatoslav-mykhailiuk,2018,79,205,1997-06-10
keita-bates-diop,2018,80,229,1996-01-23
chimezie-metu,2018,81,225,1997-03-22
alize-johnson,2018,79,212,1996-04-22
tony-carr,2018,77,204,1997-10-11
vince-edwards,2018,80,225,1996-04-05
devon-hall,2018,74,215,1995-07-07
shake-milton,2018,77,205,1996-09-26
arnoldas-kulboka,2018,81,198,1998-01-04
ray-spalding,2018,82,215,1997-03-11
kevin-hervey,2018,81,230,1996-07-09
thomas-welsh,2018,84,255,1996-02-03
george-king,2018,78,225,1994-01-15
kostas-antetokounmpo,2018,82,200,1997-11-20
zion-williamson,2019,79,284,2000-07-06
ja-morant,2019,75,174,1999-08-10
rj-barrett,2019,78,214,2000-06-14
de'andre-hunter,2019,80,225,1997-12-02
darius-garland,2019,73,192,2000-01-26
jarrett-culver,2019,78,195,1999-02-20
coby-white,2019,77,195,2000-02-16
jaxson-hayes,2019,83,220,2000-05-23
rui-hachimura,2019,80,230,1998-02-08
cam-reddish,2019,80,218,1999-09-01
cameron-johnson,2019,80,210,1996-03-03
p.j.-washington,2019,79,230,1998-08-23
tyler-herro,2019,77,195,2000-01-20
romeo-langford,2019,76,216,1999-10-25
sekou-doumbouya,2019,80,230,2000-12-23
chuma-okeke,2019,78,229,1998-08-18
nickeil-alexander-walker,2019,78,205,1998-09-02
goga-bitadze,2019,83,250,1999-07-20
luka-samanic,2019,82,227,2000-01-09
matisse-thybulle,2019,77,200,1997-03-04
brandon-clarke,2019,80,215,1996-09-19
grant-williams,2019,78,236,1998-11-30
darius-bazley,2019,80,208,2000-06-12
ty-jerome,2019,77,195,1997-07-08
nassir-little,2019,77,220,2000-02-11
dylan-windler,2019,78,196,1996-09-22
mfiondu-kabengele,2019,81,250,1997-08-14
jordan-poole,2019,76,194,1999-06-19
keldon-johnson,2019,77,220,1999-10-11
kevin-porter-jr.,2019,76,203,2000-05-04
nicolas-claxton,2019,83,215,1999-04-17
kz-okpala,2019,80,215,1999-04-28
carsen-edwards,2019,71,200,1998-03-12
bruno-fernando,2019,81,240,1998-08-15
didi-louzada,2019,77,188,1999-02-07
cody-martin,2019,77,205,1995-09-28
deividas-sirvydis,2019,80,190,2000-06-10
daniel-gafford,2019,82,234,1998-10-01
alen-smailagic,2019,82,215,2000-08-18
justin-james,2019,79,190,1997-01-24
eric-paschall,2019,78,255,1996-11-04
admiral-schofield,2019,77,241,1997-03-30
jaylen-nowell,2019,76,201,1999-07-09
bol-bol,2019,86,220,1999-11-16
isaiah-roby,2019,80,230,1998-02-03
talen-horton-tucker,2019,76,234,2000-11-25
ignas-brazdeikis,2019,78,221,1999-01-08
terance-mann,2019,77,215,1996-10-18
quinndary-weatherspoon,2019,75,205,1996-09-10
jarrell-brantley,2019,77,250,1996-06-07
tremont-waters,2019,70,175,1998-01-10
jalen-mcdaniels,2019,81,205,1998-01-31
justin-wright-foreman,2019,72,190,1997-10-27
marial-shayok,2019,77,198,1995-07-26
kyle-guy,2019,73,167,1997-08-11
jaylen-hands,2019,75,180,1999-02-12
jordan-bone,2019,74,180,1997-11-05
miye-oni,2019,77,206,1997-08-04
dewan-hernandez,2019,82,235,1996-12-09
vanja-marinkovic,2019,78,200,1997-01-09
anthony-edwards,2020,76,225,2001-08-05
james-wiseman,2020,84,240,2001-03-31
lamelo-ball,2020,78,180,2001-08-22
patrick-williams,2020,79,215,2001-08-26
isaac-okoro,2020,77,225,2001-01-26
onyeka-okongwu,2020,80,235,2000-12-11
killian-hayes,2020,77,195,2001-07-27
obi-toppin,2020,81,220,1998-03-04
deni-avdija,2020,81,210,2001-01-03
jalen-smith,2020,82,215,2000-03-16
devin-vassell,2020,77,200,2000-08-23
tyrese-haliburton,2020,77,185,2000-02-29
kira-lewis-jr.,2020,73,170,2001-04-06
aaron-nesmith,2020,77,215,1999-10-16
cole-anthony,2020,74,185,2000-05-15
isaiah-stewart,2020,80,250,2001-05-22
aleksej-pokusevski,2020,84,190,2001-12-26
josh-green,2020,77,200,2000-11-16
saddiq-bey,2020,79,215,1999-04-09
precious-achiuwa,2020,80,225,1999-09-19
tyrese-maxey,2020,74,200,2000-11-04
zeke-nnaji,2020,81,240,2001-01-09
leandro-bolmaro,2020,78,200,2000-09-11
r.j.-hampton,2020,76,175,2001-02-07
immanuel-quickley,2020,75,190,1999-06-17
payton-pritchard,2020,73,195,1998-01-28
udoka-azubuike,2020,80,280,1999-09-17
jaden-mcdaniels,2020,81,185,2000-09-29
malachi-flynn,2020,73,175,1998-05-10
desmond-bane,2020,77,215,1998-06-25
tyrell-terry,2020,74,160,2000-09-28
vernon-carey-jr.,2020,81,270,2001-02-25
daniel-oturu,2020,80,240,1999-09-20
theo-maledon,2020,76,175,2001-06-12
xavier-tillman-sr.,2020,80,245,1999-01-12
tyler-bey,2020,79,215,1998-02-10
vit-krejci,2020,80,195,2000-06-19
saben-lee,2020,74,183,1999-06-23
elijah-hughes,2020,78,215,1998-03-10
robert-woodard,2020,78,235,1999-09-22
tre-jones,2020,73,185,2000-01-08
nick-richards,2020,84,245,1997-11-29
jahmi'us-ramsey,2020,75,190,2001-06-09
marko-simonovic,2020,83,216,1999-10-15
jordan-nwora,2020,80,225,1998-09-09
cj-elleby,2020,78,200,2000-06-16
yam-madar,2020,75,190,2000-12-21
nico-mannion,2020,74,190,2001-03-14
isaiah-joe,2020,76,165,1999-07-02
skylar-mays,2020,76,205,1997-09-05
justinian-jessup,2020,79,202,1998-05-23
kenyon-martin-jr.,2020,78,215,2001-01-06
cassius-winston,2020,73,185,1998-02-28
cassius-stanley,2020,77,190,1999-08-18
jay-scrubb,2020,77,220,2000-09-01
grant-riller,2020,74,190,1997-02-08
reggie-perry,2020,80,250,2000-03-21
paul-reed,2020,81,210,1999-06-14
jalen-harris,2020,77,195,1998-08-14
sam-merrill,2020,76,205,1996-05-15
