player,draft_year,pro_height_inches,pro_weight_lb,date_of_birth
ersan-ilyasova,2005,81,235,1987-05-15
ronny-turiaf,2005,82,249,1983-01-13
travis-diener,2005,73,175,1982-03-01
von-wafer,2005,77,210,1985-07-21
monta-ellis,2005,75,185,1985-10-26
roko-ukic,2005,77,183,1984-05-12
chris-taft,2005,82,260,1985-03-10
mile-ilic,2005,85,230,1984-06-02
martynas-andriuskevicius,2005,86,240,1986-03-12
lou-williams,2005,73,175,1986-10-27
erazem-lorbek,2005,82,250,1984-02-21
bracey-wright,2005,75,210,1984-07-01
mickael-gelabale,2005,79,215,1983-05-22
andray-blatche,2005,83,235,1986-08-22
ryan-gomes,2005,79,250,1982-09-01
robert-whaley,2005,82,260,1982-04-16
axel-hervelle,2005,81,223,1983-12-05
orien-greene,2005,76,208,1982-02-04
dijon-thompson,2005,79,195,1983-02-23
lawrence-roberts,2005,81,240,1982-10-20
amir-johnson,2005,81,240,1987-05-01
marcin-gortat,2005,83,240,1984-02-17
uros-slokar,2005,82,238,1983-05-14
cenk-akyol,2005,78,195,1987-04-16
alex-acker,2005,77,185,1983-01-21
andrea-bargnani,2006,84,245,1985-10-26
lamarcus-aldridge,2006,83,250,1985-07-19
adam-morrison,2006,80,205,1984-07-19
tyrus-thomas,2006,81,215,1986-08-17
shelden-williams,2006,81,250,1983-10-21
brandon-roy,2006,78,215,1984-07-23
randy-foye,2006,76,213,1983-09-24
rudy-gay,2006,80,250,1986-08-17
patrick-o'bryant,2006,84,260,1986-06-20
mouhamed-sene,2006,83,230,1986-05-12
j.j.-redick,2006,75,200,1984-06-24
hilton-armstrong,2006,83,235,1984-11-11
thabo-sefolosha,2006,78,215,1984-05-02
ronnie-brewer,2006,79,220,1985-03-20
cedric-simmons,2006,81,235,1986-01-03
rodney-carney,2006,79,205,1984-04-15
shawne-williams,2006,81,225,1986-02-16
oleksiy-pecherov,2006,84,232,1985-12-08
quincy-douby,2006,75,175,1984-05-16
renaldo-balkman,2006,80,208,1984-07-14
rajon-rondo,2006,73,180,1986-02-22
marcus-williams,2006,75,205,1985-12-03
josh-boone,2006,82,237,1984-11-21
kyle-lowry,2006,72,196,1986-03-25
shannon-brown,2006,76,205,1985-11-29
jordan-farmar,2006,74,180,1986-11-30
sergio-rodriguez,2006,75,176,1986-06-12
maurice-ager,2006,77,202,1984-02-09
mardy-collins,2006,78,220,1984-08-04
joel-freeland,2006,82,250,1987-02-07
james-white,2006,79,200,1982-10-21
steve-novak,2006,82,225,1983-06-13
solomon-jones,2006,82,230,1984-07-16
paul-davis,2006,83,270,1984-07-21
p.j.-tucker,2006,77,245,1985-05-05
craig-smith,2006,79,250,1983-11-10
bobby-jones,2006,79,215,1984-01-09
kosta-perovic,2006,86,240,1985-02-19
david-noel,2006,78,230,1984-02-27
denham-brown,2006,,,
james-augustine,2006,82,235,1984-02-27
daniel-gibson,2006,74,190,1986-02-27
marcus-vinicius,2006,80,225,1984-05-31
lior-eliyahu,2006,81,225,1985-09-09
alexander-johnson,2006,81,240,1983-02-08
dee-brown,2006,72,185,1984-08-17
paul-millsap,2006,79,257,1985-02-10
vladimir-veremeenko,2006,82,235,1984-07-21
leon-powe,2006,80,240,1984-01-22
ryan-hollins,2006,84,240,1984-10-10
