team,player,college
BOS,semi-ojeleye,SMU
CHI,jordan-bell,Oregon
PHI,jawun-evans,Oklahoma State
NOP,dwayne-bacon,Florida State
ATL,tyler-dorsey,Oregon
UTA,thomas-bryant,Indiana
HOU,isaiah-hartenstein,
NYK,damyean-dotson,Oregon
HOU,dillon-brooks,Oregon
PHI,sterling-brown,SMU
IND,ike-anigbogu,UCLA
MIL,sindarius-thornwell,South Carolina
DEN,vlatko-cancar,
PHI,mathias-lessort,
DEN,monte-morris,Iowa State
NOP,edmond-sumner,Xavier
BOS,kadeem-allen,Arizona
PHO,alec-peters,Valparaiso
UTA,nigel-williams-goss,Gonzaga
BOS,jabari-bird,California
BRK,sasha-vezenkov,
NYK,ognjen-jaramaz,
SAS,jaron-blossomgame,Clemson
ATL,alpha-kaba,
PHO,deandre-ayton,Arizona
SAC,marvin-bagley-iii,Duke
ATL,luka-doncic,
MEM,jaren-jackson-jr.,Michigan State
DAL,trae-young,Oklahoma
ORL,mo-bamba,Texas
CHI,wendell-carter-jr.,Duke
CLE,collin-sexton,Alabama
NYK,kevin-knox,Kentucky
PHI,mikal-bridges,Villanova
CHO,shai-gilgeous-alexander,Kentucky
LAC,miles-bridges,Michigan State
LAC,jerome-robinson,Boston College
DEN,michael-porter-jr.,Missouri
WAS,troy-brown-jr.,Oregon
PHO,zhaire-smith,Texas Tech
MIL,donte-divincenzo,Villanova
SAS,lonnie-walker,Miami (FL)
ATL,kevin-huerter,Maryland
MIN,josh-okogie,Georgia Tech
UTA,grayson-allen,Duke
CHI,chandler-hutchison,Boise State
IND,aaron-holiday,UCLA
POR,anfernee-simons,
LAL,moritz-wagner,Michigan
PHI,landry-shamet,Wichita State
BOS,robert-williams,Texas A&M
GSW,jacob-evans,Cincinnati
BRK,dzanan-musa,
ATL,omari-spellman,Villanova
PHO,elie-okobo,
MEM,jevon-carter,West Virginia
DAL,jalen-brunson,Villanova
ATL,devonte'-graham,Kansas
ORL,melvin-frazier,Tulane
NYK,mitchell-robinson,
SAC,gary-trent-jr.,Duke
PHI,khyri-thomas,Creighton
PHI,isaac-bonga,
BRK,rodions-kurucs,
ORL,jarred-vanderbilt,Kentucky
DET,bruce-brown,Miami (FL)
DEN,justin-jackson,Maryland
WAS,issuf-sanon,
BRK,hamidou-diallo,Kentucky
HOU,de'anthony-melton,USC
LAL,sviatoslav-mykhailiuk,Kansas
MIN,keita-bates-diop,Ohio State
SAS,chimezie-metu,USC
IND,alize-johnson,Missouri State
NOP,tony-carr,Penn State
UTA,vince-edwards,Purdue
OKC,devon-hall,Virginia
DAL,shake-milton,SMU
CHO,arnoldas-kulboka,
PHI,ray-spalding,Louisville
OKC,kevin-hervey,UT Arlington
DEN,thomas-welsh,UCLA
PHO,george-king,Colorado
PHI,kostas-antetokounmpo,Dayton
NOP,zion-williamson,Duke
MEM,ja-morant,Murray State
NYK,rj-barrett,Duke
LAL,de'andre-hunter,Virginia
CLE,darius-garland,Vanderbilt
PHO,jarrett-culver,Texas Tech
CHI,coby-white,UNC
ATL,jaxson-hayes,Texas
WAS,rui-hachimura,Gonzaga
ATL,cam-reddish,Duke
MIN,cameron-johnson,UNC
CHO,p.j.-washington,Kentucky
MIA,tyler-herro,Kentucky
BOS,romeo-langford,Indiana
DET,sekou-doumbouya,
ORL,chuma-okeke,Auburn
BRK,nickeil-alexander-walker,Virginia Tech
IND,goga-bitadze,
SAS,luka-samanic,
BOS,matisse-thybulle,Washington
OKC,brandon-clarke,Gonzaga
BOS,grant-williams,Tennessee
UTA,darius-bazley,
PHI,ty-jerome,Virginia
POR,nassir-little,UNC
CLE,dylan-windler,Belmont
BRK,mfiondu-kabengele,Florida State
GSW,jordan-poole,Michigan
SAS,keldon-johnson,Kentucky
MIL,kevin-porter-jr.,USC
BRK,nicolas-claxton,Georgia
PHO,kz-okpala,Stanford
PHI,carsen-edwards,Purdue
PHI,bruno-fernando,Maryland
ATL,didi-louzada,
CHO,cody-martin,Nevada
DAL,deividas-sirvydis,
CHI,daniel-gafford,Arkansas
NOP,alen-smailagic,
SAC,justin-james,Wyoming
GSW,eric-paschall,Villanova
PHI,admiral-schofield,Tennessee
MIN,jaylen-nowell,Washington
MIA,bol-bol,Oregon
DET,isaiah-roby,Nebraska
ORL,talen-horton-tucker,Iowa State
SAC,ignas-brazdeikis,Michigan
LAC,terance-mann,Florida State
SAS,quinndary-weatherspoon,Mississippi State
IND,jarrell-brantley,College of Charleston
BOS,tremont-waters,LSU
CHO,jalen-mcdaniels,San Diego State
UTA,justin-wright-foreman,Hofstra
PHI,marial-shayok,Iowa State
NYK,kyle-guy,Virginia
LAC,jaylen-hands,UCLA
NOP,jordan-bone,Tennessee
GSW,miye-oni,Yale
TOR,dewan-hernandez,Miami (FL)
SAC,vanja-marinkovic,
MIN,anthony-edwards,Georgia
GSW,james-wiseman,Memphis
CHO,lamelo-ball,
CHI,patrick-williams,Florida State
CLE,isaac-okoro,Auburn
ATL,onyeka-okongwu,USC
DET,killian-hayes,
NYK,obi-toppin,Dayton
WAS,deni-avdija,
PHO,jalen-smith,Maryland
SAS,devin-vassell,Florida State
SAC,tyrese-haliburton,Iowa State
NOP,kira-lewis-jr.,Alabama
BOS,aaron-nesmith,Vanderbilt
ORL,cole-anthony,UNC
POR,isaiah-stewart,Washington
MIN,aleksej-pokusevski,
DAL,josh-green,Arizona
BRK,saddiq-bey,Villanova
MIA,precious-achiuwa,Memphis
PHI,tyrese-maxey,Kentucky
DEN,zeke-nnaji,Arizona
NYK,leandro-bolmaro,
MIL,r.j.-hampton,
OKC,immanuel-quickley,Kentucky
BOS,payton-pritchard,Oregon
UTA,udoka-azubuike,Kansas
LAL,jaden-mcdaniels,Washington
TOR,malachi-flynn,San Diego State
BOS,desmond-bane,TCU
DAL,tyrell-terry,Stanford
CHO,vernon-carey-jr.,Duke
MIN,daniel-oturu,Minnesota
PHI,theo-maledon,
SAC,xavier-tillman-sr.,Michigan State
PHI,tyler-bey,Colorado
WAS,vit-krejci,
UTA,saben-lee,Vanderbilt
NOP,elijah-hughes,Syracuse
MEM,robert-woodard,Mississippi State
SAS,tre-jones,Duke
NOP,nick-richards,Kentucky
SAC,jahmi'us-ramsey,Texas Tech
CHI,marko-simonovic,
MIL,jordan-nwora,Louisville
POR,cj-elleby,Washington State
BOS,yam-madar,
GSW,nico-mannion,Arizona
PHI,isaiah-joe,Arkansas
ATL,skylar-mays,LSU
GSW,justinian-jessup,Boise State
SAC,kenyon-martin-jr.,
OKC,cassius-winston,Michigan State
IND,cassius-stanley,Duke
BRK,jay-scrubb,John A. Logan College
CHO,grant-riller,College of Charleston
LAC,reggie-perry,Mississippi State
PHI,paul-reed,DePaul
TOR,jalen-harris,Nevada
NOP,sam-merrill,Utah State University
