College,Year,Games,Wins
Kennesaw St.,2017,30,14
Lipscomb,2017,30,20
NJIT,2017,29,11
North Florida,2017,30,15
Stetson,2017,29,11
USC Upstate,2017,29,17
Florida Gulf Coast,2018,32,23
Jacksonville,2018,29,15
Kennesaw St.,2018,28,10
NJIT,2018,28,14
North Florida,2018,30,14
Stetson,2018,28,12
USC Upstate,2018,28,7
Florida Gulf Coast,2019,30,14
Jacksonville,2019,30,12
Kennesaw St.,2019,30,5
Lipscomb,2019,35,29
NJIT,2019,34,22
North Alabama,2019,29,10
North Florida,2019,31,16
Stetson,2019,29,7
Illinois,2015,33,19
Michigan,2015,31,15
Minnesota,2015,32,17
Nebraska,2015,31,13
Northwestern,2015,32,15
Penn St.,2015,34,18
Rutgers,2015,32,10
Illinois,2016,34,15
Minnesota,2016,31,8
Nebraska,2016,34,16
Northwestern,2016,32,20
Ohio St.,2016,35,21
Penn St.,2016,32,16
Rutgers,2016,31,6
Illinois,2017,34,20
Indiana,2017,34,18
Iowa,2017,34,19
Nebraska,2017,30,12
Ohio St.,2017,32,17
Penn St.,2017,33,15
Rutgers,2017,32,15
Illinois,2018,31,14
Indiana,2018,31,16
Iowa,2018,33,14
Maryland,2018,31,19
Minnesota,2018,32,15
Nebraska,2018,33,22
Northwestern,2018,31,15
Penn St.,2018,39,26
Rutgers,2018,33,15
Wisconsin,2018,33,15
Illinois,2019,33,12
Indiana,2019,35,19
Nebraska,2019,35,19
Northwestern,2019,32,13
Penn St.,2019,32,14
Rutgers,2019,31,14
Kansas St.,2015,32,15
TCU,2015,33,18
Texas Tech,2015,32,13
Kansas St.,2016,33,17
Oklahoma St.,2016,32,10
TCU,2016,33,12
Oklahoma,2017,31,11
TCU,2017,38,24
Texas,2017,33,11
Texas Tech,2017,32,18
Baylor,2018,33,19
Iowa St.,2018,31,13
Oklahoma St.,2018,36,21
Oklahoma St.,2019,32,12
TCU,2019,37,23
Texas,2019,37,21
West Virginia,2019,36,15
Creighton,2015,33,14
DePaul,2015,32,12
Marquette,2015,32,13
Seton Hall,2015,31,16
Creighton,2016,35,20
DePaul,2016,31,9
Georgetown,2016,33,15
Marquette,2016,33,20
St. John's,2016,31,7
DePaul,2017,32,9
Georgetown,2017,32,14
St. John's,2017,33,14
DePaul,2018,31,11
Georgetown,2018,30,15
Marquette,2018,35,21
St. John's,2018,32,16
Butler,2019,33,16
Creighton,2019,34,20
DePaul,2019,36,19
Georgetown,2019,33,19
Providence,2019,34,18
Xavier,2019,35,19
Idaho,2015,28,11
Idaho St.,2015,28,5
Montana,2015,31,18
Montana St.,2015,29,6
North Dakota,2015,28,6
Northern Arizona,2015,37,22
Northern Colorado,2015,28,13
Portland St.,2015,27,13
Sacramento St.,2015,31,19
Southern Utah,2015,28,9
Weber St.,2015,28,11
Eastern Washington,2016,32,16
